Date,Open,High,Low,Close,Vol,Amount,Change,Change_Pct,Amplitude
2012-05-28,25.51,26.07,25.44,26.04,1277518769,3285755392.00,0.00,0.00,2.42
2012-05-29,26.02,26.61,26.02,26.44,714949008,1875593344.00,0.40,1.54,2.23
2012-05-30,26.42,26.47,26.33,26.36,265887198,701725760.00,-0.08,-0.30,0.53
2012-05-31,26.21,26.45,26.13,26.30,178155984,468193088.00,-0.06,-0.23,1.22
2012-06-01,26.29,26.60,26.20,26.30,179350035,473477184.00,0.00,0.00,1.52
2012-06-04,26.01,26.04,25.55,25.58,546074272,1413413504.00,-0.72,-2.74,1.92
2012-06-05,25.62,25.72,25.56,25.61,127167495,326150592.00,0.03,0.12,0.62
2012-06-06,25.63,25.74,25.48,25.59,136922726,350839424.00,-0.02,-0.08,1.02
2012-06-07,25.78,25.83,25.36,25.43,336424017,860028352.00,-0.16,-0.63,1.85
2012-06-08,25.58,25.60,25.30,25.34,210182214,534630016.00,-0.09,-0.35,1.18
2012-06-11,25.43,25.77,25.36,25.64,225455591,576327104.00,0.30,1.18,1.60
2012-06-12,25.50,25.62,25.38,25.48,157723725,401878816.00,-0.16,-0.62,0.94
2012-06-13,25.60,25.88,25.50,25.85,188133567,483872800.00,0.37,1.45,1.47
2012-06-14,25.80,25.98,25.71,25.74,152554664,394044032.00,-0.11,-0.43,1.05
2012-06-15,25.82,25.94,25.57,25.84,159835267,411542176.00,0.10,0.39,1.43
2012-06-18,25.89,26.08,25.88,25.92,132126533,342959072.00,0.08,0.31,0.77
2012-06-19,25.90,25.90,25.72,25.73,105011686,270933120.00,-0.19,-0.73,0.70
2012-06-20,25.80,25.87,25.70,25.70,119277367,307520544.00,-0.03,-0.12,0.66
2012-06-21,25.63,25.64,25.17,25.30,179224170,453655584.00,-0.40,-1.56,1.86
2012-06-25,25.27,25.27,24.76,24.80,231481108,579443712.00,-0.50,-1.98,2.06
2012-06-26,24.72,24.85,24.62,24.80,185228901,458451968.00,0.00,0.00,0.93
2012-06-27,24.78,24.93,24.70,24.71,151365795,375457760.00,-0.09,-0.36,0.93
2012-06-28,24.80,24.86,24.55,24.57,169573950,418670240.00,-0.14,-0.57,1.26
2012-06-29,24.51,24.88,24.48,24.85,197204211,486289920.00,0.28,1.14,1.61
2012-07-02,24.95,24.95,24.76,24.85,186222256,463059456.00,0.00,0.00,0.76
2012-07-03,24.88,25.16,24.82,24.89,146903100,367051136.00,0.04,0.16,1.37
2012-07-04,24.94,25.04,24.84,24.89,110336405,275036928.00,0.00,0.00,0.80
2012-07-05,24.79,24.79,24.52,24.61,208773911,513592288.00,-0.28,-1.12,1.10
2012-07-06,24.66,25.12,24.52,25.01,175797830,436554816.00,0.40,1.63,2.40
2012-07-09,24.89,24.99,24.48,24.51,164864331,408098784.00,-0.50,-2.00,2.08
2012-07-10,24.49,24.53,24.38,24.41,204195965,499158624.00,-0.10,-0.41,0.61
2012-07-11,24.38,24.58,24.35,24.52,169297647,414092864.00,0.11,0.45,0.94
2012-07-12,24.46,24.87,24.37,24.74,266044440,655043264.00,0.22,0.90,2.02
2012-07-13,24.73,24.96,24.71,24.78,177890449,441479104.00,0.04,0.16,1.01
2012-07-16,24.81,24.82,24.37,24.38,227361107,556372736.00,-0.40,-1.61,1.85
2012-07-17,24.37,24.49,24.31,24.43,258532838,630134272.00,0.05,0.21,0.74
2012-07-18,24.41,24.51,24.06,24.43,315295930,766719552.00,0.00,0.00,1.84
2012-07-19,24.41,24.73,24.37,24.51,338043984,830268800.00,0.08,0.33,1.47
2012-07-20,24.45,24.51,24.27,24.33,270297800,659710336.00,-0.18,-0.73,0.99
2012-07-23,24.11,24.11,23.92,24.03,185688542,445845216.00,-0.30,-1.23,0.79
2012-07-24,23.97,24.23,23.95,24.08,230423665,554385088.00,0.05,0.21,1.16
2012-07-25,24.00,24.14,23.90,23.93,138906724,333627584.00,-0.15,-0.62,1.00
2012-07-26,23.95,24.07,23.80,23.82,254895999,610152256.00,-0.11,-0.46,1.13
2012-07-27,23.89,23.96,23.77,23.85,372468536,888581760.00,0.03,0.13,0.80
2012-07-30,23.89,23.99,23.72,23.77,230320619,549167616.00,-0.08,-0.34,1.14
2012-07-31,23.78,23.85,23.66,23.71,421498384,1001090752.00,-0.06,-0.25,0.80
2012-08-01,23.72,24.01,23.72,23.89,261555591,624664256.00,0.18,0.76,1.21
2012-08-02,23.86,23.89,23.59,23.71,208725821,495894112.00,-0.18,-0.75,1.27
2012-08-03,23.75,23.86,23.68,23.85,173736637,412710944.00,0.14,0.59,0.75
2012-08-06,23.83,24.20,23.82,24.16,314425730,755432640.00,0.31,1.30,1.57
2012-08-07,24.15,24.21,24.12,24.19,258440372,624693696.00,0.03,0.12,0.37
2012-08-08,24.23,24.36,24.16,24.21,232950212,564756032.00,0.02,0.08,0.83
2012-08-09,24.22,24.48,24.12,24.45,201000366,488752032.00,0.24,0.99,1.47
2012-08-10,24.47,24.47,24.33,24.38,111870103,273056096.00,-0.07,-0.29,0.57
2012-08-13,24.31,24.31,23.89,23.92,295936636,713474304.00,-0.46,-1.89,1.76
2012-08-14,23.93,23.96,23.60,23.88,322602237,767577920.00,-0.04,-0.17,1.51
2012-08-15,23.83,23.83,23.64,23.66,191010978,453117696.00,-0.22,-0.92,0.80
2012-08-16,23.67,23.70,23.57,23.59,122866266,290402432.00,-0.07,-0.30,0.55
2012-08-17,23.59,23.60,23.35,23.49,175726529,412189248.00,-0.10,-0.42,1.06
2012-08-20,23.33,23.43,22.42,23.36,170506151,396240928.00,-0.13,-0.55,4.32
2012-08-21,23.36,23.67,23.33,23.45,234889417,552081920.00,0.09,0.39,1.45
2012-08-22,23.47,23.49,23.23,23.28,129801974,302900832.00,-0.17,-0.72,1.12
2012-08-23,23.33,23.48,23.22,23.39,167054637,390070496.00,0.11,0.47,1.11
2012-08-24,23.30,23.32,23.13,23.16,158441884,367720672.00,-0.23,-0.98,0.82
2012-08-27,23.05,23.05,22.67,22.68,314323326,716814656.00,-0.48,-2.07,1.68
2012-08-28,22.65,22.84,22.60,22.68,217624127,493740032.00,0.00,0.00,1.06
2012-08-29,22.62,22.74,22.50,22.53,213328159,482331424.00,-0.15,-0.66,1.07
2012-08-30,22.46,22.55,22.26,22.43,232674434,521648608.00,-0.10,-0.44,1.29
2012-08-31,22.40,22.51,22.38,22.43,203186243,456087328.00,0.00,0.00,0.58
2012-09-03,22.38,22.70,22.33,22.57,238842576,538901312.00,0.14,0.62,1.64
2012-09-04,22.61,22.67,22.32,22.33,224764716,506401984.00,-0.24,-1.06,1.57
2012-09-05,22.33,22.41,22.23,22.32,218155984,486821056.00,-0.01,-0.04,0.81
2012-09-06,22.35,22.54,22.32,22.54,169650767,380480256.00,0.22,0.99,0.98
2012-09-07,22.67,23.85,22.67,23.57,558933727,1308147840.00,1.03,4.57,5.01
2012-09-10,23.60,23.70,23.53,23.65,239091508,564596288.00,0.08,0.34,0.72
2012-09-11,23.49,23.50,23.31,23.47,286374277,670007808.00,-0.18,-0.76,0.81
2012-09-12,23.65,23.78,23.34,23.59,277382682,652823808.00,0.12,0.51,1.87
2012-09-13,23.52,23.63,23.35,23.36,205652699,483482368.00,-0.23,-0.97,1.20
2012-09-14,23.54,23.70,23.35,23.52,323767643,762010304.00,0.16,0.68,1.49
2012-09-17,23.46,23.48,22.95,22.97,270617163,628467008.00,-0.55,-2.34,2.31
2012-09-18,22.82,22.87,22.62,22.69,222930580,507932000.00,-0.28,-1.22,1.10
2012-09-19,22.69,22.84,22.62,22.78,278485038,632625600.00,0.09,0.40,0.97
2012-09-20,22.73,22.73,22.26,22.29,408269501,918380864.00,-0.49,-2.15,2.11
2012-09-21,22.21,22.50,22.19,22.28,277052151,618928576.00,-0.01,-0.04,1.39
2012-09-24,22.14,22.63,22.04,22.48,314290169,701343616.00,0.20,0.90,2.62
2012-09-25,22.41,22.57,22.35,22.45,172181047,386972288.00,-0.03,-0.13,0.98
2012-09-26,22.43,22.52,22.18,22.21,162960701,363710528.00,-0.24,-1.07,1.53
